"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
217,"11-Jan","Orientale","Haut-Uele","Dungu",1,1,
218,"11-Jan","Orientale","Haut-Uele","Dungu",,,
219,"11-Jan","Orientale","Haut-Uele","Dungu",1,1,
220,"11-Jan","Orientale","Haut-Uele","Dungu",,,2
221,"11-Jan","Orientale","Haut-Uele","Dungu",,,
222,"11-Jan","Orientale","Haut-Uele","Dungu",1,1,
223,"11-Jan","Orientale","Haut-Uele","Dungu",,2,5
224,"11-Jan","Orientale","Haut-Uele","Dungu",,,
225,"11-Jan","Orientale","Haut-Uele","Dungu",,1,
226,"11-Jan","Orientale","Haut-Uele","Dungu",,,
227,"11-Jan","Orientale","Haut-Uele","Dungu",,,
228,"11-Jan","Orientale","Haut-Uele","Dungu",1,,
229,"11-Jan","Orientale","Haut-Uele","Dungu",,,
230,"11-Jan","Orientale","Haut-Uele","Dungu",,,2
231,"11-Jan","Orientale","Haut-Uele","Dungu",,,
232,"11-Jan","Orientale","Haut-Uele","Dungu",3,,
233,"11-Jan","Orientale","Haut-Uele","Dungu",,,
234,"11-Jan","Orientale","Haut-Uele","Dungu",,,
235,"11-Jan","Orientale","Haut-Uele","Dungu",,,
236,"11-Jan","Orientale","Haut-Uele","Dungu",1,,
237,"11-Jan","Orientale","Haut-Uele","Dungu",3,1,
238,"11-Jan","Orientale","Haut-Uele","Dungu",2,,
239,"11-Jan","Orientale","Haut-Uele","Dungu",,,
240,"11-Jan","Orientale","Haut-Uele","Dungu",,,
241,"11-Jan","Orientale","Haut-Uele","Faradje",2,,5
242,"11-Jan","Orientale","Haut-Uele","Faradje",,,4
243,"11-Jan","Orientale","Haut-Uele","Faradje",,,
244,"11-Jan","Orientale","Haut-Uele","Faradje",,,
245,"11-Feb","Orientale","Haut-Uele","Dungu",,,
246,"11-Feb","Orientale","Haut-Uele","Dungu",,1,
247,"11-Feb","Orientale","Haut-Uele","Dungu",,,
