unique_id,province,territory,locality,place,axe,source,date_incident,month,month_text,type_incident,category,sub_category,num_missing,num_injured,num_deaths
535,Sud Kivu,Bukavu,Bukavu,Domicile,Ndendere,UNDSS,5/26/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
536,Sud Kivu,Bukavu,Bukavu,Domicile,Ibanda,UNDSS,5/27/12,12-May,May-12,Cambriolage,S_curit_ des vehicules,cambriolage de voiture,0,0,0
537,Sud Kivu,Bukavu,Bukavu,Domicile,Muhumba ,UNDSS,5/29/12,12-May,May-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
538,Sud Kivu,Bukavu,Bukavu,Voie publique,Avenue Nyofu,UNDSS,5/31/12,12-May,May-12,Agression armee,Detention physique,D_tention,0,0,0
539,Sud Kivu,Bukavu,Bukavu,Domicile,Bukavu,UNDSS,6/1/12,12-Jun,Jun-12,Exactions,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
540,Sud Kivu,Bukavu,Bukavu,Domicile,Bukavu,UNDSS,6/2/12,12-Jun,Jun-12,Exactions,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
541,Sud Kivu,Fizi,Bibokoboko1,Voie publique,,OXFAM,6/2/12,12-Jun,Jun-12,Meutre/ Assassinat,Agression physique,Meurtre,0,0,1
542,Sud Kivu,Bukavu,Bukavu,Domicile,Quartier Mal Acquis,UNDSS,6/3/12,12-Jun,Jun-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
543,Sud Kivu,Fizi,Misisi,Voie publique,Mutupeke-Kilicha,CFDH,6/4/12,12-Jun,Jun-12,Agression armee,Agression physique,agression non sexuelle ,0,0,0
544,Nord Kivu,Rutshuru,Kahunga,Voie publique,Kiwanja - Rwindi,Heal Africa,6/6/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
545,Nord Kivu,Masisi,Mubambiro,Voie publique,Goma - Sake,UNDSS,6/9/12,12-Jun,Jun-12,Agression armee,S_curit_ des vehicules,D_tournement arm_,0,0,0
546,Orientale,Ango,Banda,Voie publique,Banda-Doruma,Milobs,6/9/12,12-Jun,Jun-12,Agression armee,Vol de rue,,0,0,0
547,Orientale,Dungu,Naparka,Voie publique,Banda-Naparka,INTERSOS,6/9/12,12-Jun,Jun-12,Agression armee,Agression physique,agression non sexuelle ,0,0,0
548,Sud Kivu,Kalehe,Chifunzi,Lieu public,Kalonge,CICR,6/10/12,12-Jun,Jun-12,Agression armee,Agression physique,agression non sexuelle ,0,0,0
549,Nord Kivu,Lubero,Luofu,Voie publique,Luofu - Miriki,WHH ,6/11/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
550,Nord Kivu,Nyiragongo,kibumba,Voie publique,Goma - Rutshuru Centre,Care International,6/11/12,12-Jun,Jun-12,Tracasseries,S_curit_ des vehicules,Tentative de vol de v_hicule,0,0,0
551,Nord Kivu,Lubero,Luofu,Voie publique,Luofu - Miriki,CEPROSSAN,6/12/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
552,Nord Kivu,Goma,Quartier les volcans,Bureau,Goma,SC-UK,6/14/12,12-Jun,Jun-12,Cambriolage,S_curit_ des bureaux,Introduction dans un bureau par effraction,0,0,0
553,Nord Kivu,Rutshuru,Bambo,Lieu public,Katwe - Bambo,Johanniter,6/16/12,12-Jun,Jun-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
554,Sud Kivu,Bukavu,Bukavu,Voie publique,Place de l'independance,IRC,6/16/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
555,Nord Kivu,Goma,Quartier les volcans,Voie publique,Goma,Johanniter,6/17/12,12-Jun,Jun-12,Agression armee,S_curit_ des vehicules,Vol de v_hicule,0,0,0
556,Nord Kivu,Masisi,Nyamitaba,Voie publique,Kirolirwe - Masisi Centre,OCHA,6/21/12,12-Jun,Jun-12,Tracasseries,Vol de rue,Sans violence physique,0,0,0
557,Sud Kivu,Bukavu,Bukavu,Voie publique,Essence,IRC,6/22/12,12-Jun,Jun-12,Tracasseries,Voie de fait  avec violence,Agression physique,0,0,0
