"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
181,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Duru (1,5 km N de Duru)",1,,
182,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Kpegba (7 km N de Ngilima",,,
183,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Diagbe",,,
184,"10-Oct","October-2010","Orientale","Haut-Uele","Dungu","Nangbalama (13 km NE de Bangadi)",1,,
185,"10-Oct","October-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",3,,
186,"10-Oct","October-2010","Orientale","Haut-Uele","Niangara","Kasia (3 km S de Nambia)",,,
187,"10-Oct","October-2010","Orientale","Haut-Uele","Niangara","35 km NE de Nambia",1,,
188,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","13 km SE de Bangadi",1,,
189,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","13 km SE de Bangadi",,,
190,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Kumbari (4 km SE de Bangadi)",,,3
191,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Ngilima",,,1
192,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Nambia (5 km S de Duru",,,
193,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","2 km O de Nagero",,,
194,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Route 4 (110 km E de Dungu)",1,,
195,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",1,2,
196,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Ngilima (45 km NO de Dungu)",,1,
197,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Solo (12 km NO de Duru)",,,
198,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",,,
199,"10-Nov","November-2010","Orientale","Haut-Uele","Dungu","200 m au N de la Paroisse de Duru",,,
200,"10-Nov","November-2010","Orientale","Haut-Uele","Faradje","Lema pres de Djabir",,,
201,"10-Nov","November-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",,,
202,"10-Nov","November-2010","Orientale","Haut-Uele","Niangara","Nambia (15 km N de Niangara)",,,
203,"10-Nov","November-2010","Orientale","Bas-Uele","Ango","Dikuma (30 km E de dakwa",,,5
204,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Dungu-Mayi (5 km N de Dungu)",,,1
205,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Nabiapay (32 Km NO de Duru)",,2,
206,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Linakofo (10 km N de Dungu)",,,2
207,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Limay (25 km N de Dungu)",,1,2
208,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Tingulu (40 km SE de Doruma, entre Diebio et Diagbe)",4,,
209,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Kpanangbala (60 km NO de Doruma)",,18,
210,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Anduala (15 km NE de Ngilima)",,1,
211,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Anduala (15 km E de Ngilima)",1,,
212,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","3 km SE de Ngilima",,,
213,"10-Dec","December-2010","Orientale","Haut-Uele","Dungu","Ngilima",1,,
214,"10-Dec","December-2010","Orientale","Haut-Uele","Faradje","Kpodo (12 km S de Faradje )",,2,
215,"10-Dec","December-2010","Orientale","Haut-Uele","Faradje","Ima (9km d Aba)",,1,
216,"10-Dec","December-2010","Orientale","Bas-Uele","Ango","3 km au N de Banda",,3,
